test_set,test_n,test_pos,train_n,val_n,pos_weight,best_epoch,val_auc,auc,pr_auc,f1,acc,prec,rec
set01,258,0.5465116500854492,3950,698,2.084,7,0.9415,0.9054979693277565,0.8591028107720617,0.8307692307692308,0.8294573643410853,0.907563025210084,0.7659574468085106
set02,310,0.57419353723526,3903,693,2.103,11,0.9534,0.8822352740892067,0.8592141051775999,0.8539944903581267,0.8290322580645161,0.8378378378378378,0.8707865168539326
set03,2094,0.3252148926258087,2396,416,1.94,11,0.8995,0.930652333637827,0.8784463449285538,0.8166894664842681,0.8720152817574021,0.764404609475032,0.8766519823788547
set04,1610,0.3062111735343933,2802,494,1.928,19,0.9612,0.8916323606588932,0.7905728433859056,0.7239150507848569,0.8142857142857143,0.6644067796610169,0.795131845841785
set05,47,0.3191489279270172,4137,722,2.104,2,0.9288,0.9979166666666667,0.9958333333333333,0.967741935483871,0.9787234042553191,0.9375,1.0
set06,587,0.23850084841251373,3669,650,1.935,2,0.9219,0.9628475551294343,0.881456353495073,0.8157894736842105,0.9045996592844975,0.7560975609756098,0.8857142857142857
