tag,seed,n_params,best_epoch,val_loss,val_acc,val_f1,val_auc,val_pr_auc,val_prec,val_rec,test_loss,test_acc,test_f1,test_auc,test_pr_auc,test_prec,test_rec
transformer_searched,42,794241,19,0.15085442848386071,0.944794952681388,0.891640866873065,0.9824634655532359,0.951301608871939,0.8571428571428571,0.9290322580645162,0.26747448510404076,0.899235912129895,0.8498220640569395,0.9488627211346704,0.8927443611051447,0.824585635359116,0.8766519823788547
transformer_searched,0,794241,12,0.23477254455397933,0.8990536277602523,0.815028901734104,0.97265809145397,0.9219944956365581,0.7382198952879581,0.9096774193548387,0.30277596617610314,0.8810888252148997,0.8307273963290279,0.9474202730466934,0.915228541970763,0.7734177215189874,0.8972099853157122
transformer_searched,1,794241,32,0.17246174807616213,0.9305993690851735,0.8641975308641975,0.9807529126540508,0.9460954463124962,0.8284023668639053,0.9032258064516129,0.2799293473434084,0.8925501432664756,0.8409893992932862,0.949931047240175,0.8915570100792408,0.8106267029972752,0.8737151248164464
transformer_searched,2,794241,28,0.16720604727320867,0.9227129337539433,0.8454258675078864,0.9784766650952926,0.9305908569244343,0.8271604938271605,0.864516129032258,0.2785527328564763,0.8930276981852913,0.8374455732946299,0.9483992255674962,0.907888825174312,0.8278335724533716,0.8472834067547724
transformer_searched,3,794241,22,0.21687662977525488,0.9148264984227129,0.8363636363636363,0.980308438278672,0.9466309737754132,0.7885714285714286,0.8903225806451613,0.30628414486233346,0.9049665711556829,0.8641638225255973,0.9537761898378077,0.8975298155005883,0.8073979591836735,0.9295154185022027
transformer_default,42,268417,12,0.2281710541210716,0.9037854889589906,0.8134556574923547,0.9593912047949357,0.8799497249160433,0.7732558139534884,0.8580645161290322,0.29502139468930855,0.8849092645654251,0.8229243203526818,0.9362132412161874,0.8764170567696209,0.8235294117647058,0.8223201174743024
transformer_default,0,268417,21,0.2104994219372325,0.9258675078864353,0.8469055374592834,0.965061620311132,0.900485046212747,0.8552631578947368,0.8387096774193549,0.3303161887265208,0.8849092645654251,0.8252356780275562,0.9293720050755883,0.8705971228688936,0.8151862464183381,0.8355359765051396
transformer_default,1,268417,34,0.20078878504244688,0.916403785488959,0.8295819935691319,0.9698296181561048,0.9166571341934983,0.8269230769230769,0.832258064516129,0.31974178154836297,0.8911174785100286,0.8303571428571429,0.9408856090861758,0.883584886307156,0.8416289592760181,0.8193832599118943
transformer_default,2,268417,4,0.2672956696820184,0.886435331230284,0.8,0.9553101218937301,0.8701902884293118,0.7024390243902439,0.9290322580645162,0.34090467353832643,0.8576886341929322,0.8042049934296978,0.9264070883644945,0.8719355265331695,0.727705112960761,0.8986784140969163
transformer_default,3,268417,8,0.21778120471852058,0.8990536277602523,0.7935483870967742,0.9649673378678699,0.8773382055668806,0.7935483870967742,0.7935483870967742,0.29970895287642163,0.8705826170009551,0.797003745318352,0.9355637238855061,0.8640168106261032,0.8134556574923547,0.7812041116005873
