model,coord,protocol,auc,auc_std,pr_auc,f1_at_0p5,f1_at_tau,acc_at_tau,pie_auc,delta_auc
BiLSTM-F1,rescale,strict,0.6751161108573169,0.07546673883673895,0.1394791040555583,0.13098850159789044,0.1310512432008507,0.07840475180313958,0.94,-0.264883889142683
Transformer-F1,rescale,strict,0.6981275424742762,0.07479694628460017,0.1757104111510373,0.12972728874795075,0.12962828940050714,0.07933814170555792,0.947,-0.24887245752572373
GRU-F1,rescale,strict,0.7128586656224847,0.07418292443696617,0.17333168069161398,0.12924788830309275,0.12907202885722663,0.07704709376325838,0.941,-0.22814133437751527
Vanilla RNN-F1,rescale,strict,0.7195854815201549,0.06930850565113443,0.17215808667074356,0.1296270162017366,0.12962746694866017,0.08273228680526093,0.948,-0.22841451847984506
BiLSTM-F1,raw,strict,0.7462860841001545,0.026216112440850627,0.2471807779953686,0.2570007018450061,0.2683931284676796,0.7084429359355112,0.94,-0.19371391589984543
Transformer-F1,raw,strict,0.7784545019469642,0.012577889859940574,0.2755423866202452,0.24884735113393094,0.25556565151435867,0.6701739499363597,0.947,-0.16854549805303576
GRU-F1,raw,strict,0.7209203484957253,0.034383381085859824,0.23915067426438413,0.22508301260997973,0.2311828145047993,0.6633008061094612,0.941,-0.22007965150427466
Vanilla RNN-F1,raw,strict,0.7533220757466988,0.016328058681035092,0.2863364433643624,0.24589153146109002,0.24368428529949085,0.6599915146372508,0.948,-0.1946779242533011
