model,params,input,auc,auc_std,pr_auc,f1_at_tau,f1_std,acc_at_tau,auc_ci_lo,auc_ci_hi,pie_f1
BiLSTM-F1,2237313,bbox + ego-speed (5-D),0.737483412734669,0.02317151476837202,0.21817447861776867,0.23259765196448612,0.016111841773857268,0.7624098430207891,0.676331066995311,0.8255355894284698,0.844
Transformer-F1,794241,bbox + ego-speed (5-D),0.7679014662054863,0.004863710905919015,0.22436335292222923,0.25727963442919666,0.02250922156425859,0.8165464573610521,0.7075037876260557,0.838100324872784,0.847
GRU-F1,1678209,bbox + ego-speed (5-D),0.7205774543714242,0.009006590107625216,0.15983893599647536,0.20434978922263722,0.05129722604373186,0.7792108612643192,0.6608056356175132,0.8010085920619182,0.849
Vanilla RNN-F1,560001,bbox + ego-speed (5-D),0.6853455589636495,0.01699236684575495,0.14880043573729013,0.19603620691208584,0.046624181807862645,0.8586338565973696,0.622092536088348,0.7811941126262137,0.852
BiLSTM-F1,2237249,bbox only (4-D),0.708029867954491,0.04786153219589457,0.21726500799972187,0.2525641868283488,0.013454765652808834,0.8735680950360628,0.6348879062653283,0.7991537409837779,0.844
Transformer-F1,794113,bbox only (4-D),0.7309178468098068,0.016851149613690962,0.1606105089071115,0.24442012215552483,0.03294046547609992,0.7724225710649131,0.6517482664840927,0.7982629018505865,0.847
GRU-F1,1678145,bbox only (4-D),0.6920440949335422,0.042483672859102324,0.2234922323741078,0.20706475113863196,0.04267703714008387,0.8670343657191344,0.6284226603421617,0.7879156592336535,0.849
Vanilla RNN-F1,559937,bbox only (4-D),0.7305945310970436,0.010194852372702849,0.20202013990517037,0.24505791974833024,0.031068295853437497,0.8672889266016123,0.6528325194402634,0.8093606287235204,0.852
